"id";"nombre";"alias";"direccion";"latitud";"longitud";"descripcion";"email";"website";"twitter";"facebook";"celular";"convencional";"publicada";"ciudad_id";"pais_id";"provincia_id";"tipo_id"
10;"Startup 10";"St10";"La Puntilla";-2.152138;-79.868124;"Somos una empresa dedicada al diseno de paginas web";"startup10@startup.com";"www.startup10.com";"@startup10";"facebook.com/startup10";"0999999999";"802802802";t;58;1;6;1
1;"Startup 1";"St1";"Calle Larga";-2.900422;-79.006558;"Somos una empresa dedicada al diseno y desarrollo de software";"startup1@startup.com";"www.startup1.com";"@startup1";"facebook.com/startup1";"0999999999";"602602602";t;186;1;17;1
2;"Startup 2";"St2";"Colon";-2.88759;-78.776522;"Somos una empresa dedicada al diseno y desarrollo de software";"startup2@startup.com";"www.startup2.com";"@startup2";"facebook.com/startup2";"0999999999";"602602602";t;177;1;17;1
3;" Startup 3";" St3";"15 de octubre";-2.925994;-78.776908;"Somos una empresa dedicada al servicio al cliente";"startup3@startup.com";"www.startup3.com";"@startup3";"facebook.com/startup3";"0999999999";"602602602";t;184;1;17;1
4;" Startup 4";" St4";"Kennedy Norte";-2.177857;-79.896016;"Somos una empresa dedicada al diseno y desarrollo de software";"startup4@startup.com";"www.startup4.com";"@startup4";"facebook.com/startup4";"0999999999";"602602602";t;58;1;6;1
5;"Startup 5";"St5";"12 de octubre";-2.136396;-79.593623;"Somos una empresa dedicada a la produccion de pan y dulces";"startup5@startup.com";"www.startup5.com";"@startup5";"facebook.com/startup5";"0999999999";"602602602";t;69;1;6;1
6;"Startup 6";"St6";"Villa Club";-2.03837;-79.895003;"Somos una empresa dedicada a la construccion";"startup6@startup.com";"www.startup6.com";"@startup6";"facebook.com/startup6";"0999999999";"602602602";t;49;1;6;1
7;"Startup 7";"St7";"Cotocollao";-0.123581;-78.50403;"Somos una empresa dedicada a la produccion de empanadas y papas rellenas";"startup7@startup.com";"www.startup7.com";"@startup7";"facebook.com/startup7";"0999999999";"702702702";t;33;1;4;1
8;"Startup 8";"St8";"Morales";0.03563;-78.147319;"Somos una empresa dedicada al diseno de interiores";"startup8@startup.com";"www.startup8.com";"@startup8";"facebook.com/startup8";"0999999999";"802802802";t;36;1;4;1
9;"Startup 9";"St9";"Tumbaco";-0.211025;-78.401148;"Somos una empresa dedicada al diseno de colchones y muebles";"startup9@startup.com";"www.startup9.com";"@startup9";"facebook.com/startup9";"0999999999";"902902902";t;35;1;4;1
12;"Aceleradora 2";"Ac2";"Ave. Atahualpa";-1.666101;-78.650131;"Somos una empresa dedicada al servicio de pymes";"aceleradora2@aceleradoras.com";"www.aceleradora2.com";"@aceleradora2";"facebook.com/aceleradora2";"099999999";"9009000";t;113;1;11;6
13;"Aceleradora 3";"Ac3";"Ave. Eugenio Espejo";0.342204;-78.126398;"Somos una empresa dedicada al servicio de pymes";"aceleradora3@aceleradoras.com";"www.aceleradora3.com";"@aceleradora3";"facebook.com/aceleradora3";"099999999";"9009000";t;100;1;10;6
14;"Coworking 1";"Cow1";"Tarqui";-3.256956;-79.952336;"Somos una empresa dedicada al servicio coworking para startups";"cowork1@coworkings.com";"www.cowork1.com";"@coworking1";"facebook.com/coworking1";"099999999";"9009000";t;169;1;16;4
15;"Coworking 2";"Cow2";"Las Naves";-1.285316;-79.314316;"Somos una empresa dedicada al servicio coworking para startups";"cowork2@coworkings.com";"www.cowork2.com";"@coworking2";"facebook.com/coworking2";"099999999";"9009000";t;42;1;5;4
16;"Coworking 3";"Cow3";"Ave. 113";-0.964051;-80.705836;"Somos una empresa dedicada al servicio coworking para startups";"cowork3@coworkings.com";"www.cowork3.com";"@coworking3";"facebook.com/coworking3";"099999999";"9009000";t;142;1;15;4
19;"Empresa 1";"Emp1";"Ave. Sixto Duran";-0.704972;-80.102719;"Somos una empresa dedicada a la produccion de insumos deportivos";"empresa1@empresasec.com";"www.empresa1.com.ec";"@empresasec1";"facebook.com/empresasec1";"099999999";"9009000";t;145;1;15;2
18;"Empresa 2";"Emp2";"Pasaje";-3.47503;-80.225193;"Somos una empresa dedicada a la produccion de materiales de oficina";"empresa2@empresasec.com";"www.empresa2.com.ec";"@empresasec2";"facebook.com/empresasec2";"099999999";"9009000";t;164;1;16;2
17;"Empresa 3";"Emp3";"Panamericana";0.23454;-78.262453;"Somos una empresa dedicada a la produccion de materiales de oficina";"empresa3@empresasec.com";"www.empresa3.com.ec";"@empresasec3";"facebook.com/empresasec3";"099999999";"9009000";t;105;1;10;2
21;"Incubadora 2";"Inc2";"Aztecas";-4.003988;-79.213679;"Somos una incubadora de talentos dedicados a la creacion de arte culinaria";"incubadora2@incubadoras.com";"www.incubadora2.com.ec";"@incubadora2";"facebook.com/incubadora2";"099999999";"9009000";t;7;1;2;5
22;"Incubadora 3";"Inc3";"Isidro";-1.879509;-80.144077;"Somos una incubadora de talentos del software";"incubadora3@incubadoras.com";"www.incubadora3.com.ec";"@incubadora3";"facebook.com/incubadora3";"099999999";"9009000";t;65;1;6;5
25;"Inversionista 1";"Inv1";"Morales y Salinas";0.302091;-78.266441;"Somos una empresa dedicada a la inversion de capital para proyectos de marketing y publicidad";"inversionista1@inversionistas.com";"www.inversionista1.com.ec";"@inversionista1";"facebook.com/inversionista1";"099999999";"9009000";t;101;1;10;3
24;"Inversionista 2";"Inv2";"Ave. 4 de Agosto";-3.325303;-79.809624;"Somos una empresa dedicada a la inversion de capital para proyectos de software";"inversionista2@inversionistas.com";"www.inversionista2.com.ec";"@inversionista2";"facebook.com/inversionista2";"099999999";"9009000";t;170;1;16;3
23;"Inversionista 3";"Inv3";"Mejia";-0.989075;-80.472086;"Somos una empresa dedicada a la inversion de capital para proyectos de arquitectura ";"inversionista3@inversionistas.com";"www.inversionista3.com.ec";"@inversionista3";"facebook.com/inversionista3";"099999999";"9009000";t;37;1;4;3
29;"Escuela Sup. Politecnica del Litoral";"ESPOL";"Ave. 6 de Diciembre";-0.187937;-78.479494;"Universidad Politecnica al servicio de la educacion superior";"espol@espol.edu.ec";"www.espol.edu.ec";"@espol";"facebook/espol";"099999999";"60247822";t;33;1;4;7
26;"Universidad de Cuenca";"UCUENCA";"A. Cueva";-2.901261;-79.010489;"Universidad estatal al servicio de la educacion superior";"ucuenca@ucuenca.com";"www.ucuenca.com";"@ucuenca";"facebook/ucuenca";"0999999999";"6026026";t;186;1;17;7
28;"Universidad de Guayaquil";"UG";"Ave. Delta";-2.181719;-79.896741;"Universidad Estatal al servicio de la educacion superior ";"ug@ug.com";"www.ug.edu.ec";"@ugec";"facebook/ugec";"0999999999";"60265620";t;58;1;6;7
30;"Universidad Estatal Amazonica";"UEA";"Puyo";-1.468947;-77.995619;"Universidad Estatal al servicio de la educacion superior";"uea@uea.edu.ec";"www.uea.edu.ec";"@ueaec";"facebook/ueaec";"099999999";"24558742";t;1;1;1;7
27;"Universidad Estatal de Milagro";"UNEMI";"Km. 15 via a Milagro";-2.149039;-79.603139;"Universidad Estatal al servicio de la educacion superior";"umilagro@unemi.edu.ec";"www.unemi.edu.ec";"@unemiec";"facebook/unemiec";"099999999";"06026020";t;69;1;6;7
11;" Aceleradora 1";" Ac1";"7 de Mayo";-1.588909;-79.00113;"Somos una empresa dedicada al servicio de pymes";"aceleradora1@aceleradoras.com";"www.aceleradora1.com";"@aceleradora1";"facebook.com/aceleradora1";"099999999";"9009000";t;41;1;5;6
20;"Incubadora 1";"Inc1";"Bolivar";0.971846;-79.653325;"Somos una incubadora de talentos dedicados a la creacion de esculturas en ceramica y piedra";"incubadora1@incubadoras.com";"www.eincubadora1.com.ec";"@incubadora1";"facebook.com/incubadora1";"099999999";"9009000";t;198;1;19;5
31;"Universidad Tecnica de Babahoyo";"UTB";"Ave. Universitaria";-1.800439;-79.512166;"Universidad Tecnica Estatal al servicio de la educacion superior";"administrador@utb.edu.ec";"www.utb.edu.ec";"@utb";"facebook/utb";"0999999999";"24525893";t;85;1;8;7
